acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,label
0.01,0.02,1.03,-1.46,1.34,-1.21,220.37,214.73,-22.23,109271.0,z up
0.01,0.02,1.03,-1.39,1.5,-1.37,223.9,207.64,-18.81,109377.0,z up
0.01,0.02,1.03,-1.45,1.33,-1.39,238.0,218.28,-25.65,109481.0,z up
0.01,0.01,1.03,-1.46,1.45,-1.39,230.95,204.09,-32.49,109587.0,z up
0.01,0.02,1.03,-1.43,1.4,-1.37,234.47,193.44,-8.55,109690.0,z up
0.01,0.02,1.03,-1.43,1.71,-1.21,220.37,214.73,-18.81,109796.0,z up
0.01,0.02,1.03,-1.46,1.53,-1.27,230.95,211.19,-18.81,109900.0,z up
0.01,0.02,1.03,-1.43,1.54,-1.39,245.05,214.73,-25.65,110006.0,z up
0.05,-0.03,-1.0,-1.46,1.31,-1.36,248.58,-51.47,-860.25,119964.0,none
0.05,-0.03,-1.0,-1.34,1.4,-1.33,253.87,-49.69,-855.12,120070.0,z down
0.05,-0.03,-0.99,-1.37,1.36,-1.28,259.15,-62.11,-860.25,120174.0,z down
0.05,-0.03,-0.99,-1.56,1.66,-1.46,253.87,-56.79,-855.12,120280.0,z down
0.05,-0.03,-0.99,-1.39,1.39,-1.4,257.39,-53.24,-858.54,120383.0,z down
0.04,-0.03,-0.99,-1.37,1.45,-1.34,245.05,-51.47,-856.83,120489.0,z down
0.05,-0.03,-1.0,-1.46,1.5,-1.37,266.21,-44.37,-846.57,120594.0,z down
0.05,-0.03,-0.99,-1.53,1.46,-1.45,246.81,-53.24,-848.28,120698.0,z down
0.05,-0.03,-0.99,-1.45,1.53,-1.33,262.68,-55.01,-839.73,120800.0,z down
0.05,-0.03,-0.99,-1.43,1.6,-1.45,252.1,-51.47,-860.25,120904.0,z down
0.05,-0.03,-1.0,-1.48,1.63,-1.42,255.63,-47.92,-856.83,121008.0,z down
0.05,-0.03,-0.99,-1.59,1.5,-1.33,248.58,-55.01,-846.57,121114.0,z down
0.05,-0.04,-1.0,-1.43,1.53,-1.3,257.39,-49.69,-855.12,121217.0,z down
0.05,-0.03,-0.99,-1.48,1.62,-1.36,250.34,-46.14,-865.38,121324.0,z down
0.05,-0.03,-1.0,-1.34,1.31,-1.22,250.34,-46.14,-865.38,121427.0,z down
0.05,-0.03,-0.99,-1.54,1.46,-1.34,250.34,-56.79,-844.86,121533.0,z down
0.05,-0.03,-0.99,-1.5,1.51,-1.4,253.87,-53.24,-841.44,121637.0,z down
0.05,-0.03,-0.99,-1.51,1.37,-1.31,236.24,-60.34,-848.28,121743.0,z down
0.05,-0.03,-0.99,-1.42,1.72,-1.33,257.39,-53.24,-861.96,121847.0,z down
0.05,-0.03,-0.99,-1.36,1.24,-1.28,252.1,-65.66,-856.83,121952.0,z down
0.05,-0.03,-0.99,-1.59,1.5,-1.43,246.81,-60.34,-861.96,122057.0,z down
0.05,-0.03,-0.99,-1.45,1.65,-1.46,246.81,-49.69,-861.96,122162.0,z down
0.05,-0.03,-1.0,-1.51,1.43,-1.4,252.1,-51.47,-867.09,122267.0,z down
0.05,-0.03,-0.99,-1.45,1.54,-1.27,252.1,-55.01,-839.73,122371.0,z down
0.05,-0.03,-1.0,-1.4,1.28,-1.3,250.34,-56.79,-855.12,122477.0,z down
0.05,-0.03,-1.0,-1.56,1.56,-1.51,257.39,-49.69,-858.54,122581.0,z down
0.05,-0.03,-0.99,-1.39,1.54,-1.24,260.92,-63.89,-858.54,122687.0,z down
0.05,-0.03,-1.0,-1.22,1.59,-1.21,262.68,-58.56,-853.41,122791.0,z down
0.05,-0.03,-0.99,-1.45,1.4,-1.28,239.76,-56.79,-851.7,122896.0,z down
0.05,-0.03,-1.0,-1.5,1.59,-1.39,257.39,-46.14,-855.12,123001.0,z down
0.05,-0.03,-0.99,-1.48,1.48,-1.42,269.73,-55.01,-849.99,123106.0,z down
0.05,-0.03,-1.0,-1.43,1.6,-1.36,255.63,-62.11,-860.25,123210.0,z down
0.05,-0.03,-0.99,-1.37,1.53,-1.4,253.87,-49.69,-858.54,123316.0,z down
0.05,-0.03,-0.99,-1.45,1.37,-1.36,253.87,-39.04,-858.54,123421.0,z down
0.05,-0.03,-0.99,-1.39,1.65,-1.39,252.1,-51.47,-860.25,123525.0,z down
0.05,-0.03,-0.99,-1.39,1.51,-1.33,239.76,-60.34,-855.12,123631.0,z down
0.05,-0.03,-0.99,-1.62,1.68,-1.53,264.44,-49.69,-855.12,123735.0,z down
0.05,-0.03,-0.99,-1.37,1.56,-1.4,248.58,-58.56,-853.41,123841.0,z down
0.05,-0.03,-0.99,-1.45,1.57,-1.33,241.52,-51.47,-853.41,123944.0,z down
0.05,-0.03,-0.99,-1.36,1.56,-1.36,255.63,-55.01,-849.99,124051.0,z down
0.05,-0.04,-0.99,-1.39,1.48,-1.37,252.1,-58.56,-853.41,124154.0,z down
0.05,-0.03,-0.99,-1.36,1.59,-1.36,255.63,-51.47,-846.57,124260.0,z down
