acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,time,sensor,dir
0.06,-0.13,-1.1,16.77,5.16,0.29,525.98,-29.24,779.23,11431912.0,gyro,
0.06,-0.13,-1.1,16.82,5.14,0.27,525.98,-29.24,779.23,11433447.0,gyro,
0.06,-0.13,-1.1,16.82,5.14,0.27,525.98,-29.24,779.23,11434396.0,gyro,
0.06,-0.13,-1.1,16.82,5.14,0.27,525.98,-29.24,779.23,11435331.0,gyro,
0.06,-0.13,-1.1,16.85,5.22,0.26,513.11,-27.41,788.04,11437182.0,gyro,
0.06,-0.13,-1.1,16.85,5.22,0.26,513.11,-27.41,788.04,11438111.0,gyro,
0.06,-0.13,-1.1,16.78,5.13,0.21,513.11,-27.41,788.04,11439662.0,gyro,
0.06,-0.13,-1.1,16.78,5.13,0.21,513.11,-27.41,788.04,11440596.0,gyro,
0.06,-0.13,-1.1,16.72,5.1,0.17,513.11,-27.41,788.04,11442152.0,gyro,
0.06,-0.13,-1.1,16.72,5.1,0.17,513.11,-27.41,788.04,11443102.0,gyro,
0.06,-0.13,-1.1,16.72,5.1,0.17,513.11,-27.41,788.04,11444035.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.21,514.95,-29.24,793.33,11445890.0,gyro,
0.06,-0.13,-1.1,16.75,5.07,0.21,514.95,-29.24,793.33,11446842.0,gyro,
0.06,-0.13,-1.1,16.8,5.14,0.21,514.95,-29.24,793.33,11448396.0,gyro,
0.06,-0.13,-1.1,16.8,5.14,0.21,514.95,-29.24,793.33,11449325.0,gyro,
0.06,-0.13,-1.1,16.8,5.14,0.21,514.95,-29.24,793.33,11450267.0,gyro,
0.06,-0.13,-1.1,16.77,5.16,0.21,514.95,-29.24,793.33,11451820.0,gyro,
0.06,-0.13,-1.1,16.77,5.16,0.21,514.95,-29.24,793.33,11452768.0,gyro,
0.06,-0.13,-1.1,16.74,5.23,0.2,520.46,-42.03,802.14,11454614.0,gyro,
0.06,-0.13,-1.1,16.74,5.23,0.2,520.46,-42.03,802.14,11455552.0,gyro,
0.06,-0.13,-1.1,16.72,5.23,0.17,520.46,-42.03,802.14,11457110.0,gyro,
0.06,-0.13,-1.1,16.72,5.23,0.17,520.46,-42.03,802.14,11458049.0,gyro,
0.06,-0.13,-1.1,16.72,5.23,0.17,520.46,-42.03,802.14,11458983.0,gyro,
0.06,-0.13,-1.1,16.74,5.16,0.17,520.46,-42.03,802.14,11460543.0,gyro,
0.06,-0.13,-1.1,16.74,5.16,0.17,520.46,-42.03,802.14,11461475.0,gyro,
0.06,-0.13,-1.1,16.66,5.14,0.27,520.46,-42.03,802.14,11463016.0,gyro,
0.06,-0.13,-1.1,16.66,5.14,0.27,520.46,-42.03,802.14,11463962.0,gyro,
0.06,-0.13,-1.1,16.66,5.14,0.27,520.46,-42.03,802.14,11464899.0,gyro,
0.06,-0.13,-1.1,16.65,5.16,0.21,516.79,-27.41,795.09,11466751.0,gyro,
0.06,-0.13,-1.1,16.65,5.16,0.21,516.79,-27.41,795.09,11467678.0,gyro,
0.06,-0.13,-1.1,16.63,5.17,0.17,516.79,-27.41,795.09,11469226.0,gyro,
0.06,-0.13,-1.1,16.63,5.17,0.17,516.79,-27.41,795.09,11470153.0,gyro,
0.06,-0.13,-1.1,16.63,5.17,0.17,516.79,-27.41,795.09,11471093.0,gyro,
0.06,-0.13,-1.1,16.66,5.16,0.23,516.79,-27.41,795.09,11472645.0,gyro,
0.06,-0.13,-1.1,16.66,5.16,0.23,516.79,-27.41,795.09,11473581.0,gyro,
0.06,-0.13,-1.1,16.74,5.07,0.26,503.91,-21.93,800.38,11475433.0,gyro,
0.06,-0.13,-1.1,16.74,5.07,0.26,503.91,-21.93,800.38,11476377.0,gyro,
0.06,-0.13,-1.1,16.71,5.19,0.26,503.91,-21.93,800.38,11477924.0,gyro,
0.06,-0.13,-1.1,16.71,5.19,0.26,503.91,-21.93,800.38,11478870.0,gyro,
0.06,-0.13,-1.1,16.71,5.19,0.26,503.91,-21.93,800.38,11479800.0,gyro,
0.06,-0.13,-1.1,16.72,5.22,0.2,503.91,-21.93,800.38,11481348.0,gyro,
0.06,-0.13,-1.1,16.72,5.22,0.2,503.91,-21.93,800.38,11482289.0,gyro,
0.06,-0.13,-1.1,16.72,5.22,0.2,503.91,-21.93,800.38,11483224.0,gyro,
0.06,-0.13,-1.1,16.71,5.28,0.21,513.11,-27.41,809.2,11485072.0,gyro,
0.06,-0.13,-1.1,16.71,5.28,0.21,513.11,-27.41,809.2,11486017.0,gyro,
0.06,-0.13,-1.1,16.72,5.25,0.2,513.11,-27.41,809.2,11487573.0,gyro,
0.06,-0.13,-1.1,16.72,5.25,0.2,513.11,-27.41,809.2,11488506.0,gyro,
0.06,-0.13,-1.1,16.74,5.23,0.21,513.11,-27.41,809.2,11490062.0,gyro,
0.06,-0.13,-1.1,16.74,5.23,0.21,513.11,-27.41,809.2,11490991.0,gyro,
0.06,-0.13,-1.1,16.74,5.23,0.21,513.11,-27.41,809.2,11491936.0,gyro,
0.06,-0.13,-1.1,16.77,5.2,0.21,513.11,-27.41,809.2,11493487.0,gyro,
0.06,-0.13,-1.1,16.77,5.2,0.21,513.11,-27.41,809.2,11494424.0,gyro,
0.06,-0.13,-1.1,16.8,5.08,0.2,544.37,-25.58,800.38,11496275.0,gyro,
0.06,-0.13,-1.1,16.8,5.08,0.2,544.37,-25.58,800.38,11497216.0,gyro,
0.06,-0.13,-1.1,16.8,5.08,0.2,544.37,-25.58,800.38,11498164.0,gyro,
0.06,-0.13,-1.1,16.78,5.1,0.23,544.37,-25.58,800.38,11499724.0,gyro,
0.06,-0.13,-1.1,16.78,5.1,0.23,544.37,-25.58,800.38,11500651.0,gyro,
0.06,-0.13,-1.1,16.78,5.17,0.21,544.37,-25.58,800.38,11502199.0,gyro,
0.06,-0.13,-1.1,16.78,5.17,0.21,544.37,-25.58,800.38,11503128.0,gyro,
0.06,-0.13,-1.1,16.78,5.17,0.21,544.37,-25.58,800.38,11504068.0,gyro,
0.06,-0.13,-1.1,16.72,5.19,0.15,529.66,-36.55,800.38,11505918.0,gyro,
0.06,-0.13,-1.1,16.72,5.19,0.15,529.66,-36.55,800.38,11506865.0,gyro,
0.06,-0.13,-1.1,16.72,5.25,0.12,529.66,-36.55,800.38,11508398.0,gyro,
0.06,-0.13,-1.1,16.72,5.25,0.12,529.66,-36.55,800.38,11509334.0,gyro,
0.06,-0.13,-1.1,16.72,5.25,0.12,529.66,-36.55,800.38,11510279.0,gyro,
0.06,-0.13,-1.1,16.69,5.1,0.23,529.66,-36.55,800.38,11511822.0,gyro,
0.06,-0.13,-1.1,16.69,5.1,0.23,529.66,-36.55,800.38,11512776.0,gyro,
0.06,-0.13,-1.1,16.74,5.07,0.26,525.98,-25.58,800.38,11514625.0,gyro,
0.06,-0.13,-1.1,16.74,5.07,0.26,525.98,-25.58,800.38,11515564.0,gyro,
0.06,-0.13,-1.1,16.72,5.1,0.21,525.98,-25.58,800.38,11517110.0,gyro,
0.06,-0.13,-1.1,16.72,5.1,0.21,525.98,-25.58,800.38,11518047.0,gyro,
0.06,-0.13,-1.1,16.72,5.1,0.21,525.98,-25.58,800.38,11518968.0,gyro,
0.06,-0.13,-1.1,16.75,5.11,0.21,525.98,-25.58,800.38,11520521.0,gyro,
0.06,-0.13,-1.1,16.75,5.11,0.21,525.98,-25.58,800.38,11521445.0,gyro,
0.06,-0.13,-1.1,16.8,5.2,0.29,525.98,-25.58,800.38,11522994.0,gyro,
0.06,-0.13,-1.1,16.8,5.2,0.29,525.98,-25.58,800.38,11523932.0,gyro,
0.06,-0.13,-1.1,16.8,5.2,0.29,525.98,-25.58,800.38,11524872.0,gyro,
0.06,-0.13,-1.1,16.77,5.2,0.31,514.95,-14.62,786.28,11526712.0,gyro,
0.06,-0.13,-1.1,16.77,5.2,0.31,514.95,-14.62,786.28,11527645.0,gyro,
0.06,-0.13,-1.1,16.78,5.22,0.26,514.95,-14.62,786.28,11529195.0,gyro,
0.06,-0.13,-1.1,16.78,5.22,0.26,514.95,-14.62,786.28,11530134.0,gyro,
0.06,-0.13,-1.1,16.78,5.22,0.26,514.95,-14.62,786.28,11531074.0,gyro,
0.06,-0.13,-1.1,16.77,5.25,0.2,514.95,-14.62,786.28,11532616.0,gyro,
0.06,-0.13,-1.1,16.77,5.25,0.2,514.95,-14.62,786.28,11533549.0,gyro,
0.06,-0.13,-1.1,16.66,5.25,0.23,518.62,-29.24,789.8,11535399.0,gyro,
0.06,-0.13,-1.1,16.66,5.25,0.23,518.62,-29.24,789.8,11536332.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.24,518.62,-29.24,789.8,11537886.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.24,518.62,-29.24,789.8,11538842.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.24,518.62,-29.24,789.8,11539792.0,gyro,
0.06,-0.13,-1.1,16.66,5.2,0.24,518.62,-29.24,789.8,11541337.0,gyro,
0.06,-0.13,-1.1,16.66,5.2,0.24,518.62,-29.24,789.8,11542271.0,gyro,
0.06,-0.13,-1.1,16.66,5.2,0.24,518.62,-29.24,789.8,11543202.0,gyro,
0.06,-0.13,-1.1,16.63,5.28,0.15,518.62,-43.86,810.96,11545056.0,gyro,
0.06,-0.13,-1.1,16.63,5.28,0.15,518.62,-43.86,810.96,11545996.0,gyro,
0.06,-0.13,-1.1,16.63,5.25,0.12,518.62,-43.86,810.96,11547547.0,gyro,
0.06,-0.13,-1.1,16.63,5.25,0.12,518.62,-43.86,810.96,11548487.0,gyro,
0.06,-0.13,-1.1,16.65,5.22,0.2,518.62,-43.86,810.96,11550039.0,gyro,
0.06,-0.13,-1.1,16.65,5.22,0.2,518.62,-43.86,810.96,11550966.0,gyro,
0.06,-0.13,-1.1,16.65,5.22,0.2,518.62,-43.86,810.96,11551907.0,gyro,
0.06,-0.13,-1.1,16.63,5.2,0.2,518.62,-43.86,810.96,11553450.0,gyro,
0.06,-0.13,-1.1,16.63,5.2,0.2,518.62,-43.86,810.96,11554381.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.24,516.79,-31.07,795.09,11556240.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.24,516.79,-31.07,795.09,11557189.0,gyro,
0.06,-0.13,-1.1,16.62,5.19,0.24,516.79,-31.07,795.09,11558129.0,gyro,
0.06,-0.13,-1.1,16.72,5.22,0.21,516.79,-31.07,795.09,11559681.0,gyro,
0.06,-0.13,-1.1,16.72,5.22,0.21,516.79,-31.07,795.09,11560619.0,gyro,
0.06,-0.13,-1.1,16.71,5.2,0.2,516.79,-31.07,795.09,11562166.0,gyro,
0.06,-0.13,-1.1,16.71,5.2,0.2,516.79,-31.07,795.09,11563103.0,gyro,
0.06,-0.13,-1.1,16.71,5.2,0.2,516.79,-31.07,795.09,11564037.0,gyro,
0.06,-0.13,-1.1,16.75,5.19,0.24,507.59,-29.24,793.33,11565880.0,gyro,
0.06,-0.13,-1.1,16.75,5.19,0.24,507.59,-29.24,793.33,11566813.0,gyro,
0.06,-0.13,-1.1,16.78,5.16,0.29,507.59,-29.24,793.33,11568365.0,gyro,
0.06,-0.13,-1.1,16.78,5.16,0.29,507.59,-29.24,793.33,11569306.0,gyro,
0.06,-0.13,-1.1,16.8,5.19,0.24,507.59,-29.24,793.33,11570864.0,gyro,
